,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Lentisphaerae;unclassified_Lentisphaerae;,60,22,46,17,53,60,4,3,4,8,51,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Microgenomates;Microgenomates_genera_incertae_sedis;,60,22,46,17,52,60,4,2,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,20,5,5,18,6,8,60,54,29,60,36
Bacteria;Nitrospirae;Nitrospira;Nitrospirales,60,22,46,17,53,60,4,3,3,8,9,32,11,22,57,12,31,54,7,26,25,21,54,60,7,6,7,3,16,2,21,5,5,14,6,9,60,54,29,60,36
Bacteria;Omnitrophica;Omnitrophica_genera_incertae_sedis;,60,22,46,17,53,60,4,3,4,8,52,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Parcubacteria;Parcubacteria_genera_incertae_sedis;,52,22,45,17,50,41,4,2,1,8,13,30,11,22,46,12,30,53,7,24,25,20,54,49,7,5,5,1,16,3,19,4,5,5,4,2,57,41,25,60,35
Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales,60,22,46,17,53,59,4,3,4,8,32,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,12,6,9,59,54,29,60,36
Bacteria;Planctomycetes;Phycisphaerae;Tepidisphaerales,57,22,46,16,50,50,4,3,4,8,53,31,11,22,49,12,31,54,7,26,25,19,54,57,8,7,7,2,17,3,21,5,5,18,5,8,60,52,22,60,36
Bacteria;Planctomycetes;Phycisphaerae;__,60,22,46,16,53,60,4,3,4,8,42,32,11,22,57,12,31,54,7,26,25,21,53,60,8,7,7,3,17,3,21,5,5,15,6,9,60,54,29,58,36
Bacteria;Planctomycetes;Phycisphaerae;unclassified_Phycisphaerae,59,22,46,17,53,60,4,3,4,8,52,32,10,21,56,12,31,54,6,26,25,21,54,59,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Planctomycetes;Planctomycetia;CandidatusBrocadiales,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,59,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Planctomycetes;Planctomycetia;Planctomycetales,2,0,38,6,5,0,0,0,0,0,32,5,6,5,1,4,5,4,2,1,9,5,15,6,2,1,0,0,1,0,2,1,0,0,0,0,9,6,1,15,2
Bacteria;Planctomycetes;Planctomycetia;__,58,22,46,17,52,56,4,3,4,8,13,32,11,22,56,12,31,53,7,26,25,21,54,59,8,6,7,3,17,3,20,5,4,19,6,9,56,53,27,59,35
Bacteria;Planctomycetes;Planctomycetia;unclassified_Planctomycetia,45,17,46,17,48,41,4,3,3,8,25,27,11,22,42,12,30,52,7,25,25,18,54,56,8,7,7,1,17,3,21,5,5,13,6,8,39,47,23,58,36
Bacteria;Planctomycetes;__;__,38,16,45,15,34,28,1,3,4,7,45,32,11,22,40,12,29,41,5,24,23,18,47,43,8,6,6,1,16,2,14,5,3,17,5,8,36,47,21,55,26
Bacteria;Planctomycetes;unclassified_Planctomycetes;,55,22,46,17,51,42,3,3,4,8,53,32,11,22,50,12,31,48,7,24,25,21,54,54,8,7,6,1,16,3,20,5,5,19,4,9,47,54,23,56,33
Bacteria;Proteobacteria;Alphaproteobacteria;Alphaproteobacteria_incertae_sedis,30,21,46,15,15,12,4,0,3,0,52,23,4,13,19,7,26,40,5,22,13,12,17,34,7,7,6,2,16,2,6,4,0,6,4,3,29,38,5,53,27
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales,4,16,32,7,3,3,0,0,0,0,8,12,1,7,0,1,2,12,0,1,7,3,7,19,2,1,2,0,9,1,1,1,0,0,0,0,8,13,1,2,3
Bacteria;Proteobacteria;Alphaproteobacteria;Kordiimonadales,58,22,46,17,53,57,4,3,4,8,53,32,9,21,57,11,31,54,7,26,23,21,50,60,8,7,7,3,17,3,21,5,5,19,6,9,58,53,29,60,36
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales,0,6,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,5,1,0,1,0,0,0,0,0,0,0,0,1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales,16,2,30,5,19,6,0,1,2,2,3,10,0,7,8,1,6,31,3,4,1,10,3,32,4,0,1,0,4,2,10,1,2,3,1,4,11,1,5,17,28
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales,2,5,19,5,5,0,1,0,1,0,12,11,0,8,1,1,6,0,0,5,0,2,1,7,3,2,3,0,11,1,1,2,0,0,0,0,6,0,1,18,2
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales,60,22,45,17,53,60,4,2,2,8,32,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,13,6,8,60,54,29,60,36
Bacteria;Proteobacteria;Alphaproteobacteria;SAR11,60,22,45,17,53,60,4,3,4,8,51,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Alphaproteobacteria;Sneathiellales,55,22,46,16,45,54,4,3,4,8,53,31,11,21,51,12,31,53,7,26,25,19,50,57,7,7,7,2,17,2,19,5,4,17,6,8,57,53,28,57,36
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales,9,12,46,15,19,16,4,0,0,3,0,24,11,6,6,12,16,26,4,8,25,9,36,29,8,7,7,0,16,2,13,4,1,0,4,0,23,18,6,15,25
Bacteria;Proteobacteria;Alphaproteobacteria;__,1,0,30,2,2,0,0,0,1,0,0,3,0,4,0,1,3,4,0,1,0,1,1,9,0,0,0,0,3,0,0,0,0,1,0,3,3,7,0,3,3
Bacteria;Proteobacteria;Alphaproteobacteria;unclassified_Alphaproteobacteria,49,18,45,16,18,20,4,3,4,3,48,29,11,10,22,12,30,41,7,22,25,15,43,41,8,7,6,0,16,2,5,4,2,15,5,7,32,35,14,52,26
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales,11,0,0,9,32,16,1,0,0,5,0,15,6,11,16,5,15,14,2,5,15,10,31,6,1,0,0,1,5,1,12,1,3,0,2,0,26,6,11,11,3
Bacteria;Proteobacteria;Betaproteobacteria;Ferritrophicales,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Betaproteobacteria;Gallionellales,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,15,6,8,60,54,29,60,36
Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales,50,22,46,15,53,59,2,3,4,8,52,31,10,22,55,11,29,54,7,23,25,21,46,47,8,7,7,3,17,3,21,5,5,19,6,6,58,54,27,55,36
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales,60,22,46,17,53,60,4,1,3,8,40,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,13,6,6,60,54,29,60,36
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales,57,22,42,17,50,60,4,2,4,7,1,30,11,22,57,12,31,53,7,26,25,20,54,60,6,4,7,3,13,2,21,5,5,12,2,5,60,53,29,59,34
Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales,60,22,46,17,53,60,4,2,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,18,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales,1,3,45,3,1,4,0,3,4,0,7,5,1,11,3,0,6,5,0,0,1,0,0,4,7,6,6,0,16,2,0,4,0,10,4,5,8,0,3,4,5
Bacteria;Proteobacteria;Betaproteobacteria;Sulfuricellales,32,22,46,16,43,40,4,3,4,8,53,32,11,14,51,12,31,54,7,19,25,19,54,55,8,6,6,0,16,3,21,5,4,18,6,9,43,45,22,58,36
Bacteria;Proteobacteria;Betaproteobacteria;__,0,2,4,8,1,3,1,0,0,0,0,0,0,1,3,0,3,7,0,0,0,1,0,14,4,3,3,0,12,2,0,2,0,4,1,1,5,1,3,2,12
Bacteria;Proteobacteria;Betaproteobacteria;unclassified_Betaproteobacteria,37,21,46,17,42,27,4,0,2,8,30,31,10,20,37,10,30,52,6,21,19,17,45,44,8,7,6,1,16,3,18,5,5,7,5,6,38,43,16,57,34
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales,28,9,44,11,31,10,4,2,3,5,30,19,6,22,13,7,25,41,2,10,13,12,16,48,6,6,5,0,16,2,15,5,2,3,4,5,32,4,3,37,27
Bacteria;Proteobacteria;Deltaproteobacteria;Bradymonadales,60,19,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Deltaproteobacteria;Deltaproteobacteria_incertae_sedis,60,22,46,17,53,59,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,53,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfarculales,57,22,46,17,49,56,4,3,4,8,53,31,10,21,54,11,30,54,7,24,23,20,50,58,8,7,7,3,17,3,21,5,5,19,6,9,54,53,26,59,36
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales,47,16,46,16,48,54,4,3,4,7,37,31,9,17,51,9,27,51,6,21,22,21,47,58,7,7,6,3,17,3,20,5,5,19,6,8,49,51,25,53,32
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales,54,13,45,14,52,55,4,3,4,8,49,28,11,21,54,12,14,19,4,21,19,20,47,55,8,7,6,3,17,3,20,4,3,19,6,9,39,49,27,35,21
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales,19,22,45,16,52,54,4,3,4,7,51,22,5,20,49,5,27,50,5,20,19,21,34,53,8,6,7,3,16,3,20,5,4,18,6,9,51,28,28,34,36
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales,5,9,41,7,5,1,0,0,1,0,2,5,0,15,1,0,14,18,1,8,3,5,0,19,5,3,2,0,12,2,1,2,0,2,2,2,12,2,0,24,4
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales,47,22,45,14,53,57,4,3,4,8,50,30,10,20,53,10,28,53,3,22,22,21,38,56,8,7,7,3,17,3,21,5,5,18,6,9,54,44,28,46,35
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophorhabdaceae,59,22,46,17,50,59,4,3,4,8,53,31,11,22,57,12,31,54,7,26,25,21,52,60,8,7,7,3,17,3,21,5,5,19,6,9,59,54,29,60,34
Bacteria;Proteobacteria;Deltaproteobacteria;__,18,13,41,9,16,6,1,1,2,1,15,18,1,15,9,0,19,27,2,11,4,8,8,32,5,2,5,0,14,2,10,3,2,3,0,4,19,14,9,30,19
Bacteria;Proteobacteria;Deltaproteobacteria;unclassified_Deltaproteobacteria,25,12,46,14,30,22,3,3,4,6,18,26,5,18,28,6,23,42,4,12,10,13,25,34,6,3,5,1,11,1,15,2,3,13,3,8,29,38,13,45,23
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales,41,21,44,15,53,60,4,3,4,8,26,30,9,22,55,10,30,52,6,25,21,20,44,59,8,7,7,3,16,3,19,5,5,19,5,8,55,31,28,44,36
Bacteria;Proteobacteria;Epsilonproteobacteria;__,55,22,45,16,53,60,4,3,4,8,51,32,10,22,57,12,31,54,7,26,25,21,49,60,8,7,7,3,17,3,21,5,5,19,6,9,59,54,29,58,36
Bacteria;Proteobacteria;Epsilonproteobacteria;unclassified_Epsilonproteobacteria,60,22,45,17,53,60,4,3,3,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,18,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales,60,22,46,17,53,60,4,3,4,8,2,31,11,22,57,12,31,50,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,13,6,7,60,54,29,60,34
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales,52,21,39,12,48,59,3,3,4,6,5,13,0,16,57,0,24,34,2,9,0,19,19,52,8,6,7,3,17,3,19,5,3,16,6,6,43,54,29,34,27
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales,40,14,43,15,40,37,3,3,3,6,42,25,9,22,40,9,23,44,6,17,24,17,41,50,8,6,7,2,16,2,14,4,3,12,6,9,35,36,18,29,33
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales,0,0,46,0,1,9,1,0,0,0,5,0,0,0,7,0,0,0,0,2,0,0,0,18,1,0,0,0,1,0,0,1,0,0,2,0,0,25,4,0,1
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_incertae_sedis,43,8,46,17,51,25,4,3,4,8,30,31,9,15,31,10,27,53,5,24,20,21,47,48,8,6,7,2,17,3,20,5,4,17,6,9,37,18,12,56,36
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales,60,22,46,17,53,58,4,0,1,7,47,32,11,22,56,12,31,53,7,26,25,21,53,58,7,5,5,3,16,2,19,5,4,3,4,0,58,53,29,60,35
Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales,44,22,46,15,52,53,4,3,4,8,29,20,9,20,53,9,24,48,6,13,22,21,43,54,8,7,7,2,17,2,21,5,4,18,6,9,44,15,28,33,33
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales,19,19,40,15,38,25,3,3,4,5,43,19,6,15,24,5,22,26,5,11,15,17,21,51,7,2,5,1,15,2,13,4,3,16,3,5,29,29,14,42,25
Bacteria;Proteobacteria;Gammaproteobacteria;Orbales,60,22,46,17,52,59,4,3,4,8,52,32,11,22,57,12,31,54,7,26,25,20,54,59,8,7,7,3,17,3,21,5,5,19,6,9,59,54,29,60,35
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales,57,21,46,13,47,60,4,3,4,7,52,25,11,20,54,11,29,41,5,11,25,20,47,47,4,5,5,3,10,3,20,3,4,16,3,7,45,54,28,37,31
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,1
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales,38,22,46,17,42,52,4,3,2,6,53,30,9,21,53,8,29,40,5,19,21,18,40,54,7,6,4,1,14,3,18,5,4,16,4,9,45,51,26,52,21
Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales,55,18,15,15,51,60,4,2,4,7,53,30,0,20,57,0,28,49,5,24,0,21,19,59,8,7,7,3,17,3,20,5,4,15,6,7,55,54,29,53,34
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales,1,0,1,0,5,0,0,0,0,0,3,0,0,0,2,0,0,7,0,0,0,0,0,1,0,0,3,0,6,1,0,2,0,0,0,0,1,14,1,0,3
Bacteria;Proteobacteria;Gammaproteobacteria;__,0,1,17,0,3,1,0,1,1,0,1,0,0,0,2,0,0,2,1,0,0,1,0,0,1,0,1,0,3,1,0,0,0,3,0,4,1,1,0,0,2
Bacteria;Proteobacteria;Gammaproteobacteria;unclassified_Gammaproteobacteria,41,22,46,15,24,27,4,3,4,5,53,29,11,17,37,12,30,40,7,26,25,14,40,54,7,7,7,0,16,2,13,5,2,17,4,9,42,37,17,57,23
Bacteria;Proteobacteria;Oligoflexia;Oligoflexales,60,22,46,17,53,60,4,3,4,8,39,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,18,6,9,60,54,29,60,36
Bacteria;Proteobacteria;__;__,0,0,7,0,1,0,0,0,2,0,0,0,0,1,0,1,3,4,0,0,0,0,0,6,3,0,2,0,9,1,0,1,0,1,1,0,4,0,2,0,2
Bacteria;Proteobacteria;unclassified_Proteobacteria;,60,22,46,17,53,60,4,3,4,8,50,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;SR1;SR1_genera_incertae_sedis;,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,53,29,60,36
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales,52,22,46,9,49,58,4,2,4,7,15,31,8,21,56,8,24,45,5,21,22,19,42,59,8,6,6,3,17,3,19,5,3,15,6,9,50,47,29,47,33
Bacteria;Synergistetes;Synergistia;Synergistales,60,22,46,17,53,60,4,3,4,8,53,29,11,20,57,12,23,53,7,25,25,21,54,59,8,7,7,3,17,3,21,4,5,19,6,9,52,54,29,56,36
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,8,60,54,29,60,36
Bacteria;Tenericutes;Mollicutes;Entomoplasmatales,59,22,46,17,53,58,4,3,4,8,53,32,11,22,51,12,31,54,7,26,25,21,54,59,8,7,7,3,17,3,19,5,5,19,6,9,60,52,28,60,36
Bacteria;Tenericutes;Mollicutes;__,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,16,6,8,60,54,29,60,36
Bacteria;Tenericutes;Mollicutes;unclassified_Mollicutes,60,18,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,53,7,26,25,21,54,58,8,7,7,3,17,3,21,5,5,19,6,9,60,53,29,60,35
Bacteria;Thermotogae;Thermotogae;Thermotogales,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,53,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,59,54,29,57,36
Bacteria;Verrucomicrobia;Opitutae;Opitutales,60,22,40,17,53,60,4,0,2,8,31,32,11,22,57,12,31,54,7,26,25,21,54,60,7,4,4,3,15,3,21,5,5,2,5,0,60,54,29,60,36
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales,60,22,46,17,53,60,4,3,4,8,29,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,18,6,9,60,54,29,60,36
Bacteria;Verrucomicrobia;Opitutae;__,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,18,6,8,60,54,29,60,36
Bacteria;Verrucomicrobia;Opitutae;unclassified_Opitutae,60,22,46,17,53,60,4,3,3,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,12,6,7,60,54,29,60,36
Bacteria;Verrucomicrobia;Spartobacteria;Spartobacteria_genera_incertae_sedis,18,8,43,12,16,16,4,1,3,3,50,27,11,16,14,12,27,27,6,13,25,10,40,33,7,7,6,1,16,2,4,4,0,7,4,2,24,40,7,37,8
Bacteria;Verrucomicrobia;Spartobacteria;Terrimicrobium,60,22,45,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,15,6,7,60,54,29,60,36
Bacteria;Verrucomicrobia;Spartobacteria;__,60,22,45,17,53,60,4,1,4,8,44,32,11,22,57,12,31,54,7,26,25,21,54,60,8,6,7,3,17,3,21,5,5,9,6,4,60,54,29,60,36
Bacteria;Verrucomicrobia;Spartobacteria;unclassified_Spartobacteria,60,22,46,17,53,60,4,3,2,8,44,32,11,22,57,12,31,54,7,26,25,21,54,60,5,4,4,3,10,3,21,1,5,7,3,2,60,54,29,60,36
Bacteria;Verrucomicrobia;Subdivision3;Limisphaera,11,14,46,10,11,6,2,3,4,0,53,14,1,14,11,2,17,24,4,14,4,7,5,29,7,7,6,0,16,2,2,4,0,19,4,9,20,23,3,31,15
Bacteria;Verrucomicrobia;Subdivision3;Subdivision3_genera_incertae_sedis,60,22,39,17,53,60,4,0,3,8,11,32,11,22,57,12,31,54,7,26,25,21,54,60,7,5,4,3,11,3,21,5,5,1,6,0,60,54,29,60,36
Bacteria;Verrucomicrobia;Subdivision3;__,29,22,46,13,34,38,4,3,4,3,53,26,5,22,40,6,26,37,6,18,19,15,29,35,7,7,6,3,17,2,13,5,1,17,4,8,28,40,17,46,29
Bacteria;Verrucomicrobia;Subdivision3;unclassified_Subdivision3,27,22,46,16,34,38,4,3,4,3,53,29,11,22,48,12,31,44,7,20,25,19,39,40,7,7,6,2,16,2,11,5,4,19,4,9,36,45,16,52,28
Bacteria;Verrucomicrobia;Subdivision5;Subdivision5_genera_incertae_sedis,48,20,46,14,52,57,4,3,4,7,53,31,8,19,53,11,8,50,6,21,25,21,46,57,8,7,6,3,17,3,21,5,5,19,6,9,45,41,29,43,35
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales,38,7,34,14,35,37,4,0,3,8,8,23,11,18,22,12,23,28,2,22,25,16,54,57,5,4,5,2,17,3,19,5,4,4,2,3,40,30,9,49,28
Bacteria;Verrucomicrobia;__;__,18,3,44,12,22,22,4,2,4,3,20,20,3,14,31,5,20,34,3,17,9,16,29,47,3,4,2,1,12,2,13,3,1,9,2,5,24,14,13,45,28
Bacteria;Verrucomicrobia;unclassified_Verrucomicrobia;,50,10,46,14,47,45,4,3,4,7,53,27,11,21,47,10,29,47,6,22,25,20,41,58,4,3,5,2,17,3,17,4,2,19,3,9,43,49,23,52,29
Bacteria;__;__;__,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Bacteria;candidatedivisionWPS-1;WPS-1_genera_incertae_sedis;,31,22,42,13,20,7,3,1,1,2,27,25,11,17,12,12,23,23,6,15,19,12,28,30,3,4,1,0,11,1,8,2,0,2,2,1,17,38,5,50,9
Bacteria;candidatedivisionWPS-2;WPS-2_genera_incertae_sedis;,39,22,46,17,39,50,4,2,3,2,53,29,11,20,50,12,31,22,7,23,22,17,37,46,6,4,5,1,16,2,13,4,3,10,4,4,37,50,23,57,6
Bacteria;unclassified_Bacteria;;__,2,1,9,3,1,0,0,0,0,0,12,2,1,6,0,2,5,1,0,2,3,4,8,4,2,3,2,0,10,1,2,1,0,0,0,0,8,0,0,5,0
