,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;unclassified_Alteromonadales,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae,59,20,44,17,52,58,4,3,3,7,51,32,11,22,52,12,31,54,7,26,25,20,49,57,8,7,7,3,17,2,18,5,5,15,6,9,58,53,26,58,36
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae,47,21,46,15,51,54,3,3,4,8,44,25,10,22,53,11,28,47,6,20,24,21,53,56,8,7,7,3,17,3,20,5,5,18,6,9,49,41,27,33,35
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Granulosicoccaceae,60,22,46,17,53,59,4,3,4,8,53,31,10,22,57,11,29,53,7,25,25,21,51,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,28,60,36
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Halothiobacillaceae,57,22,46,17,53,59,4,3,4,8,53,32,10,22,57,12,31,54,7,26,25,21,51,60,8,7,7,3,16,3,20,5,5,19,6,9,60,53,29,59,36
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Thioalkalispiraceae,60,22,46,17,53,60,4,3,4,8,53,32,11,22,56,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,58,54,29,60,36
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;__,52,17,45,17,42,41,4,3,4,7,53,31,11,22,45,11,26,52,7,23,25,18,53,58,8,6,7,2,16,3,18,4,3,16,6,9,45,50,21,57,34
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;unclassified_Chromatiales,59,22,46,17,53,54,4,3,4,8,53,32,11,22,56,12,31,54,7,25,25,21,54,57,8,7,7,3,17,3,21,5,5,18,6,9,57,54,29,60,36
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae,0,0,46,0,1,9,1,0,0,0,5,0,0,0,7,0,0,0,0,2,0,0,0,18,1,0,0,0,1,0,0,1,0,0,2,0,0,25,4,0,1
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_incertae_sedis;CandidatusCarsonella,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,18,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_incertae_sedis;Halioglobus,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,30,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,45,29,60,36
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_incertae_sedis;Pseudohaliea,60,22,46,17,53,57,4,3,4,8,53,32,9,22,57,10,31,53,5,26,20,21,49,60,8,7,7,3,17,3,21,5,5,18,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_incertae_sedis;Thiolapillus,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,6,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_incertae_sedis;__,43,8,46,17,51,28,4,3,4,8,30,31,11,15,31,12,28,54,7,24,25,21,53,50,8,7,7,2,17,3,20,5,4,19,6,9,37,18,12,56,36
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_incertae_sedis;unclassified_Gammaproteobacteria_incertae_sedis,60,21,46,17,53,58,4,3,4,8,53,32,11,22,55,12,30,54,7,26,25,21,53,58,8,7,7,3,17,3,21,5,5,19,6,9,59,52,29,60,36
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae,60,22,46,17,53,58,4,2,1,7,49,32,11,22,56,12,31,53,7,26,25,21,53,58,7,5,5,3,16,2,19,5,4,4,4,0,58,53,29,60,35
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae,60,22,46,17,53,60,4,1,4,8,51,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,13,6,8,60,54,29,60,36
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;__,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,8,60,54,29,60,36
Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae,44,22,46,15,52,53,4,3,4,8,29,20,9,20,53,9,24,48,6,13,22,21,43,54,8,7,7,2,17,2,21,5,4,18,6,9,44,15,28,33,33
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae,60,22,46,17,53,60,4,3,4,8,53,32,11,21,57,12,31,54,7,26,25,21,53,60,8,7,7,3,16,3,21,5,5,16,6,5,60,54,29,60,35
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae,47,21,46,16,42,36,3,3,4,7,52,20,6,20,29,6,25,44,5,12,17,17,32,52,8,7,7,2,17,3,16,5,3,18,5,9,47,43,15,46,32
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillales_incertae_sedis,22,20,46,16,47,47,4,3,4,5,53,32,11,18,46,11,26,36,7,24,23,21,44,59,8,7,6,2,17,3,17,5,5,19,5,9,36,37,21,55,27
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;__,60,22,40,17,51,56,3,3,4,8,44,31,11,22,55,11,31,47,7,24,25,21,45,60,7,2,6,3,15,2,21,4,5,19,5,9,57,54,28,59,35
Bacteria;Proteobacteria;Gammaproteobacteria;Orbales;Orbaceae,60,22,46,17,52,59,4,3,4,8,52,32,11,22,57,12,31,54,7,26,25,20,54,59,8,7,7,3,17,3,21,5,5,19,6,9,59,54,29,60,35
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae,57,21,46,13,47,60,4,3,4,7,52,25,11,20,54,11,29,41,5,11,25,20,47,47,4,5,5,3,10,3,20,3,4,16,3,7,45,54,28,37,31
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae,20,7,35,1,13,49,1,0,1,1,15,4,9,2,41,11,0,2,2,3,20,3,42,21,4,4,3,0,6,1,6,2,2,0,2,0,2,49,16,2,8
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,1
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;__,55,21,36,17,53,59,3,3,3,8,53,32,11,22,57,12,27,54,7,25,25,21,54,59,7,7,6,2,17,3,21,5,5,17,6,8,55,54,28,59,36
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;unclassified_Pseudomonadales,53,22,46,16,45,23,3,3,4,8,53,31,4,20,41,2,29,51,6,25,12,19,33,56,8,7,7,0,16,3,20,4,2,19,5,8,36,47,17,54,35
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Francisellaceae,60,22,46,17,53,60,4,3,2,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,16,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae,38,22,46,17,43,52,4,3,4,6,53,30,9,21,53,8,29,40,5,19,21,18,40,54,8,7,6,1,16,3,18,5,4,19,4,9,45,51,26,52,21
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichales_incertae_sedis,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,7,6,5,3,15,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;__,60,22,46,17,52,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae,55,18,15,15,51,60,4,2,4,7,53,30,0,20,57,0,28,49,5,24,0,21,19,59,8,7,7,3,17,3,20,5,4,15,6,7,55,54,29,53,34
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae,35,22,44,16,46,34,4,0,2,7,11,32,4,12,36,9,28,33,7,26,14,20,35,59,8,7,6,3,16,2,21,5,4,2,6,0,44,44,23,56,26
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae,1,0,1,0,5,0,0,0,0,0,7,0,0,0,2,0,0,7,0,0,0,0,0,1,0,0,3,0,6,1,0,2,0,0,0,0,1,14,1,0,3
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;__,59,22,46,17,53,60,4,3,4,8,35,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,15,5,9,60,54,29,60,36
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;unclassified_Xanthomonadales,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,16,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Gammaproteobacteria;__;__,0,1,17,0,3,1,0,1,1,0,1,0,0,0,2,0,0,2,1,0,0,1,0,0,1,0,1,0,3,1,0,0,0,3,0,4,1,1,0,0,2
Bacteria;Proteobacteria;Gammaproteobacteria;unclassified_Gammaproteobacteria;,41,22,46,15,24,27,4,3,4,5,53,29,11,17,37,12,30,40,7,26,25,14,40,54,7,7,7,0,16,2,13,5,2,17,4,9,42,37,17,57,23
Bacteria;Proteobacteria;Oligoflexia;Oligoflexales;Oligoflexaceae,60,22,46,17,53,60,4,3,4,8,39,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,18,6,9,60,54,29,60,36
Bacteria;Proteobacteria;__;__;__,0,0,7,0,1,0,0,0,2,0,0,0,0,1,0,1,3,4,0,0,0,0,0,6,3,0,2,0,9,1,0,1,0,1,1,0,4,0,2,0,2
Bacteria;Proteobacteria;unclassified_Proteobacteria;;__,60,22,46,17,53,60,4,3,4,8,50,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;SR1;SR1_genera_incertae_sedis;;__,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,53,29,60,36
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Leptospiraceae,60,22,46,17,53,60,4,3,4,8,23,32,11,22,57,11,27,54,6,24,25,21,48,60,8,7,7,3,17,3,21,5,5,16,6,9,60,53,29,60,36
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae,52,22,46,9,49,58,4,2,4,7,34,31,8,21,56,9,27,45,5,23,22,19,49,59,8,6,6,3,17,3,19,5,3,18,6,9,50,48,29,47,33
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;__,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,53,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae,60,22,46,17,53,60,4,3,4,8,53,29,11,20,57,12,23,53,7,25,25,21,54,59,8,7,7,3,17,3,21,4,5,19,6,9,52,54,29,56,36
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,8,60,54,29,60,36
Bacteria;Tenericutes;Mollicutes;Entomoplasmatales;Entomoplasmataceae,59,22,46,17,53,59,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,59,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Tenericutes;Mollicutes;Entomoplasmatales;Spiroplasmataceae,60,22,46,17,53,59,4,3,4,8,53,32,11,22,52,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,19,5,5,19,6,9,60,52,28,60,36
Bacteria;Tenericutes;Mollicutes;Entomoplasmatales;unclassified_Entomoplasmatales,60,22,46,17,53,60,4,3,4,8,53,32,11,22,56,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Tenericutes;Mollicutes;__;__,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,16,6,8,60,54,29,60,36
Bacteria;Tenericutes;Mollicutes;unclassified_Mollicutes;,60,18,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,53,7,26,25,21,54,58,8,7,7,3,17,3,21,5,5,19,6,9,60,53,29,60,35
Bacteria;Thermotogae;Thermotogae;Thermotogales;Fervidobacteriaceae,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,53,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,59,54,29,57,36
Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae,60,22,40,17,53,60,4,0,2,8,31,32,11,22,57,12,31,54,7,26,25,21,54,60,7,4,4,3,15,3,21,5,5,2,5,0,60,54,29,60,36
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae,60,22,46,17,53,60,4,3,4,8,29,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,18,6,9,60,54,29,60,36
Bacteria;Verrucomicrobia;Opitutae;__;__,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,18,6,8,60,54,29,60,36
Bacteria;Verrucomicrobia;Opitutae;unclassified_Opitutae;,60,22,46,17,53,60,4,3,3,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,12,6,7,60,54,29,60,36
Bacteria;Verrucomicrobia;Spartobacteria;Spartobacteria_genera_incertae_sedis;,18,8,43,12,16,16,4,1,3,3,50,27,11,16,14,12,27,27,6,13,25,10,40,33,7,7,6,1,16,2,4,4,0,7,4,2,24,40,7,37,8
Bacteria;Verrucomicrobia;Spartobacteria;Terrimicrobium;,60,22,45,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,15,6,7,60,54,29,60,36
Bacteria;Verrucomicrobia;Spartobacteria;__;__,60,22,45,17,53,60,4,1,4,8,44,32,11,22,57,12,31,54,7,26,25,21,54,60,8,6,7,3,17,3,21,5,5,9,6,4,60,54,29,60,36
Bacteria;Verrucomicrobia;Spartobacteria;unclassified_Spartobacteria;,60,22,46,17,53,60,4,3,2,8,44,32,11,22,57,12,31,54,7,26,25,21,54,60,5,4,4,3,10,3,21,1,5,7,3,2,60,54,29,60,36
Bacteria;Verrucomicrobia;Subdivision3;Limisphaera;,11,14,46,10,11,6,2,3,4,0,53,14,1,14,11,2,17,24,4,14,4,7,5,29,7,7,6,0,16,2,2,4,0,19,4,9,20,23,3,31,15
Bacteria;Verrucomicrobia;Subdivision3;Subdivision3_genera_incertae_sedis;,60,22,39,17,53,60,4,0,3,8,11,32,11,22,57,12,31,54,7,26,25,21,54,60,7,5,4,3,11,3,21,5,5,1,6,0,60,54,29,60,36
Bacteria;Verrucomicrobia;Subdivision3;__;__,29,22,46,13,34,38,4,3,4,3,53,26,5,22,40,6,26,37,6,18,19,15,29,35,7,7,6,3,17,2,13,5,1,17,4,8,28,40,17,46,29
Bacteria;Verrucomicrobia;Subdivision3;unclassified_Subdivision3;,27,22,46,16,34,38,4,3,4,3,53,29,11,22,48,12,31,44,7,20,25,19,39,40,7,7,6,2,16,2,11,5,4,19,4,9,36,45,16,52,28
Bacteria;Verrucomicrobia;Subdivision5;Subdivision5_genera_incertae_sedis;,48,20,46,14,52,57,4,3,4,7,53,31,8,19,53,11,8,50,6,21,25,21,46,57,8,7,6,3,17,3,21,5,5,19,6,9,45,41,29,43,35
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae,54,20,34,17,49,57,4,0,3,8,8,32,11,21,51,12,30,28,6,25,25,19,54,60,5,4,5,3,17,3,21,5,5,4,3,3,55,53,26,59,32
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;__,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,58,54,29,60,36
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;unclassified_Verrucomicrobiales,40,8,46,14,37,39,4,3,4,8,53,23,11,18,23,12,24,54,2,23,25,17,54,57,8,7,6,2,17,3,19,5,4,19,5,9,42,30,10,49,32
Bacteria;Verrucomicrobia;__;__;__,18,3,44,12,22,22,4,2,4,3,20,20,3,14,31,5,20,34,3,17,9,16,29,47,3,4,2,1,12,2,13,3,1,9,2,5,24,14,13,45,28
Bacteria;Verrucomicrobia;unclassified_Verrucomicrobia;;__,50,10,46,14,47,45,4,3,4,7,53,27,11,21,47,10,29,47,6,22,25,20,41,58,4,3,5,2,17,3,17,4,2,19,3,9,43,49,23,52,29
Bacteria;__;__;__;__,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Bacteria;candidatedivisionWPS-1;WPS-1_genera_incertae_sedis;;__,31,22,42,13,20,7,3,1,1,2,27,25,11,17,12,12,23,23,6,15,19,12,28,30,3,4,1,0,11,1,8,2,0,2,2,1,17,38,5,50,9
Bacteria;candidatedivisionWPS-2;WPS-2_genera_incertae_sedis;;__,39,22,46,17,39,50,4,2,3,2,53,29,11,20,50,12,31,22,7,23,22,17,37,46,6,4,5,1,16,2,13,4,3,10,4,4,37,50,23,57,6
Bacteria;unclassified_Bacteria;;__;__,2,1,9,3,1,0,0,0,0,0,12,2,1,6,0,2,5,1,0,2,3,4,8,4,2,3,2,0,10,1,2,1,0,0,0,0,8,0,0,5,0
